,dy / dx,Offchain Formula Delta,Onchain Formula Delta,Delta Difference
count,133120.0,133120.0,133120.0,133120.0
mean,7.341187543096738,-0.0019163723521679616,-0.0019163664647933744,-5.887374586955551e-09
std,18.165364001861484,0.0025256408457202035,0.002523319057144418,0.00010456655332820712
min,0.009659713728436112,-0.04420445175158194,-0.04420229115040351,-0.008521197516338556
25%,0.6803469072325776,-0.003857292962738009,-0.0038560276183090512,-6.221543903163224e-14
50%,0.9998308867874186,-0.0014470484949477892,-0.0014470484949609052,0.0
75%,1.4629025367464545,-9.418993833705862e-05,-9.403122556555157e-05,6.241850840447288e-14
max,100.07159577649831,0.039474471783696986,0.039416742010405584,0.008422681689635567
